,name,description,team,battingStyle,bowlingStyle,playingRole,photo url
190,David Wiese,"Five years later he became eligible to play for Namibia based on ancestry. He made his debut in the opening round of the T20 World Cup and helped his new team qualify for the Super 12s, winning two Player-of-the-Match awards on the way. Six months on, he was part of the Namibia side that won their first series against a Full Member when they beat Zimbabwe 3-2 in a T20I series in Bulawayo.",Namibia,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322079.1.png"
191,Gerhard Erasmus,,Namibia,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329755.1.png"
192,JJ Smit,,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386900/386940.5.png"
193,Ruben Trumpelmann,,Namibia,Right hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348607.1.png"
194,Bernard Scholtz,,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329759.1.png"
195,Jack Brassell,,Namibia,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392158.2.png"
196,Ronak Patel,,Uganda,Right hand Bat,Slow Left arm Orthodox,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392000/392091.5.png"
197,Simon Ssesazi,,Uganda,Left hand Bat,Right arm Slow,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/391400/391469.2.png"
198,Robinson Obuya,,Uganda,Right hand Bat,N/A,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392114.2.png"
199,Alpesh Ramjani,,Uganda,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392000/392066.2.png"
200,Kenneth Waiswa,,Uganda,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390921.2.png"
201,Riazat Ali Shah,,Uganda,Right hand Bat,Right arm Medium,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387400/387425.5.jpg"
202,Dinesh Nakrani,,Uganda,Left hand Bat,Left arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381600/381663.7.png"
203,Brian Masaba,,Uganda,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390914.2.png"
204,Fred Achelam,,Uganda,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392000/392067.2.png"
205,Juma Miyagi,,Uganda,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381600/381675.5.jpg"
206,Cosmas Kyewuta,,Uganda,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392000/392069.2.png"
207,Karan KC,"However, it is for his batting that he holds folk-hero status in the annals of Nepal cricket: he secured a famous one-wicket victory for them against Canada in the 2018 World Cricket League Division Two in Namibia, coming in at No. 10 and making 42 off 31. It paved the way for the country to secure ODI status a month later. Since then he has produced a number of such big-hitting cameos from lower down the order.",Nepal,Right hand Bat,Right arm Fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/330400/330442.1.png"
208,Lega Siaka,"About eight years later, Siaka starred in another memorable PNG win, making 90 in a chase of 279 against Nepal away to fetch his team their second victory in three games after they lost 18  matches on the trot over a period of two and a half years.",P.N.G.,Right hand Bat,"Right arm Fast medium, Legbreak",Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321151.1.png"
209,John Kariko,,P.N.G.,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392167.2.png"
210,Pratik Athavale,,Oman,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392162.2.png"
211,Kashyap Prajapati,,Oman,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387300/387332.5.png"
212,Aqib Ilyas,,Oman,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321767.1.png"
213,Zeeshan Maqsood,,Oman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321792.1.png"
214,Khalid Kail,,Oman,Right hand Bat,N/A,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392163.2.png"
215,Ayaan Khan,,Oman,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387400/387414.5.jpg"
216,Shoaib Khan,,Oman,Right hand Bat,Right arm Medium,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390700/390785.2.png"
217,Mehran Khan,,Oman,Right hand Bat,Right arm Medium fast,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321776.1.png"
218,Fayyaz Butt,,Oman,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321765.1.png"
219,Kaleemullah,"Originally from Gujranwala, Pakistan, where he came up through the U-19 pathway, Kaleemullah migrated to Oman in his early twenties and made his debut for that side in January 2017 in the Desert T20 tournament in the UAE. However, he had to bide his time on the bench for nearly a year afterwards, until the ICC revised its eligibility guidelines for non-citizen residents in October 2017. That opened the door for him to seize the next available opportunity, starting with 2018 World Cricket League Division Two in Namibia.",Oman,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321773.1.png"
220,Bilal Khan,"After playing the last of his six Pakistan domestic matches, Bilal took up a job offer in Muscat and began the ICC's four-year qualification process before making his Oman debut late in 2015. The ICC's guidelines at the time said only two players could be in the starting XI who were four-year residents but not yet seven-year residents of an adopted country, and so Bilal struggled to crack the regular Oman starting line-up over the course of 2016, but a breakout performance at the Desert T20 tournament in the UAE in January 2017 turned things around. From then on, he was a catalyst for Oman's rise from Division Five of the World Cricket League all the way up to achieving ODI status in 2019.",Oman,Left hand Bat,Left arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321770.1.png"
